Time,Asset,Action,Quantity,Price,Strategy,PnL,Entry_Price,Exit_Price,Holding_Hours,Trade_Reason,PnL_Percent
2026-04-05 17:13,MATIC,SELL,0.88,52800,Momentum,14.617451222469654,52800,52877.180142454636,32,Liquidity grab,0.03
2026-04-05 16:43,BTC,BUY,0.9,53000,Mean Reversion,20.526304394892264,53000,53108.78941329293,50,Moving average cross,0.04
2026-04-05 16:13,ETH,SELL,0.92,53200,Breakout,-8.350991357753035,53200,53155.57272597675,42,Liquidity grab,-0.02
2026-04-05 15:43,ADA,BUY,0.94,53400,Momentum,18.24457348764303,53400,53497.42602242401,7,Moving average cross,0.03
2026-04-05 15:13,SOL,SELL,0.96,53600,Mean Reversion,4.873203363783375,53600,53626.12037002989,4,Volume spike,0.01
2026-04-05 14:43,DOT,BUY,0.98,53800,Breakout,-11.262946699695906,53800,53739.40534675564,25,Moving average cross,-0.02
2026-04-05 14:13,XRP,SELL,1.0,54000,Momentum,21.68054372940263,54000,54117.07493613878,53,Trend breakout,0.04
2026-04-05 13:43,LINK,BUY,1.02,54200,Mean Reversion,28.78946262437225,54200,54356.038887424096,27,MACD crossover,0.05
2026-04-05 13:13,UNI,SELL,1.04,54400,Breakout,-7.955654395517126,54400,54356.72124008839,37,Resistance rejection,-0.01
2026-04-05 12:43,AAVE,BUY,1.06,54600,Momentum,-17.845014840687675,54600,54502.56621896985,58,Support bounce,-0.03
2026-04-05 12:13,MATIC,SELL,1.08,54800,Mean Reversion,29.21875120088553,54800,54960.11875658085,52,Support bounce,0.05
2026-04-05 11:43,BTC,BUY,1.1,55000,Breakout,7.261356277647302,55000,55039.937459527064,18,Support bounce,0.01
2026-04-05 11:13,ETH,SELL,1.12,55200,Momentum,22.69939337541871,55200,55325.300651432306,71,Resistance rejection,0.04
2026-04-05 10:43,ADA,BUY,1.14,55400,Mean Reversion,-11.9383237870978,55400,55333.86168621948,24,Trend breakout,-0.02
2026-04-05 10:13,SOL,SELL,1.16,55600,Breakout,29.92766507615258,55600,55766.39781782341,53,Support bounce,0.05
2026-04-05 09:43,DOT,BUY,1.18,55800,Momentum,-1.0472694490808614,55800,55794.15623647413,39,Volume spike,-0.0
2026-04-05 09:13,XRP,SELL,1.2,56000,Mean Reversion,20.55041205741567,56000,56115.08230752153,57,Moving average cross,0.04
2026-04-05 08:43,LINK,BUY,1.22,56200,Breakout,29.10278524043366,56200,56363.55765305123,30,Pattern completion,0.05
2026-04-05 08:13,UNI,SELL,1.24,56400,Momentum,28.046037337390366,56400,56558.17965058288,14,Pattern completion,0.05
2026-04-05 07:43,AAVE,BUY,1.26,56600,Mean Reversion,-23.056099403334617,56600,56469.50247737713,37,Liquidity grab,-0.04
2026-04-05 07:13,MATIC,SELL,1.28,56800,Breakout,2.6583063003475864,56800,56815.099179785975,39,Support bounce,0.0
2026-04-05 06:43,BTC,BUY,1.3,57000,Momentum,31.4773186674404,57000,57179.42071640441,55,MACD crossover,0.06
2026-04-05 06:13,ETH,SELL,1.32,57200,Mean Reversion,27.08897250608285,57200,57354.94892273479,15,Moving average cross,0.05
2026-04-05 05:43,ADA,BUY,1.34,57400,Breakout,29.4663085418236,57400,57569.136611030066,54,Volume spike,0.05
2026-04-05 05:13,SOL,SELL,1.36,57600,Momentum,2.2559416485081307,57600,57612.9942238954,60,Resistance rejection,0.0
2026-04-05 04:43,DOT,BUY,1.38,57800,Mean Reversion,-35.770986131658304,57800,57593.243700159015,39,Trend breakout,-0.06
2026-04-05 04:13,XRP,SELL,1.4,58000,Breakout,16.34969845489537,58000,58094.828251038394,1,Support bounce,0.03
2026-04-05 03:43,LINK,BUY,1.42,58200,Momentum,-12.051855323679202,58200,58129.858202016185,4,Trend breakout,-0.02
2026-04-05 03:13,UNI,SELL,1.44,58400,Mean Reversion,-4.703369314805421,58400,58372.532323201536,63,News catalyst,-0.01
2026-04-05 02:43,AAVE,BUY,1.46,58600,Breakout,9.50508423289859,58600,58655.69979360479,8,Trend breakout,0.02
2026-04-05 02:13,MATIC,SELL,1.48,58800,Momentum,41.359879167783134,58800,59043.19608950657,20,Resistance rejection,0.07
2026-04-05 01:43,BTC,BUY,1.5,59000,Mean Reversion,28.95706845308393,59000,59170.8467038732,7,Moving average cross,0.05
2026-04-05 01:13,ETH,SELL,1.52,59200,Breakout,-14.370613277276906,59200,59114.92596939852,18,News catalyst,-0.02
2026-04-05 00:43,ADA,BUY,1.54,59400,Momentum,-16.8466210732713,59400,59299.93107082477,61,Support bounce,-0.03
2026-04-05 00:13,SOL,SELL,1.56,59600,Mean Reversion,-26.02837496854684,59600,59444.87088518746,36,Pattern completion,-0.04
2026-04-04 23:43,DOT,BUY,1.58,59800,Breakout,7.629371715789411,59800,59845.62364286042,26,RSI oversold,0.01
2026-04-04 23:13,XRP,SELL,1.6,60000,Momentum,29.15392042307674,60000,60174.92352253846,41,Trend breakout,0.05
2026-04-04 22:43,LINK,BUY,1.62,60200,Mean Reversion,-36.05537401295297,60200,59982.94664844202,5,Volume spike,-0.06
2026-04-04 22:13,UNI,SELL,1.64,60400,Breakout,15.21694343843054,60400,60491.910338368114,11,Pattern completion,0.03
2026-04-04 21:43,AAVE,BUY,1.66,60600,Momentum,-11.02006425982492,60600,60533.21841058546,24,Liquidity grab,-0.02
2026-04-04 21:13,MATIC,SELL,1.68,60800,Mean Reversion,-38.8568552099954,60800,60563.750320323226,11,Volume spike,-0.06
2026-04-04 20:43,BTC,BUY,1.7,61000,Breakout,21.32966222935586,61000,61130.11093959908,15,RSI oversold,0.03
2026-04-04 20:13,ETH,SELL,1.72,61200,Momentum,23.153561150882183,61200,61341.699794243395,12,Trend breakout,0.04
2026-04-04 19:43,ADA,BUY,1.74,61400,Mean Reversion,-10.80096963053159,61400,61333.68204646854,10,News catalyst,-0.02
2026-04-04 19:13,SOL,SELL,1.76,61600,Breakout,20.73848678113591,61600,61727.7490785718,25,MACD crossover,0.03
2026-04-04 18:43,DOT,BUY,1.78,61800,Momentum,17.816513223162218,61800,61910.106051719136,12,Support bounce,0.03
2026-04-04 18:13,XRP,SELL,1.8,62000,Mean Reversion,-38.35117219943563,62000,61762.2227323635,58,Moving average cross,-0.06
2026-04-04 17:43,LINK,BUY,1.82,62200,Breakout,33.43344009786198,62200,62407.95599740871,36,MACD crossover,0.05
2026-04-04 17:13,UNI,SELL,1.84,62400,Momentum,-6.12432134958336,62400,62361.7842347786,67,Pattern completion,-0.01
2026-04-04 16:43,AAVE,BUY,1.86,62600,Mean Reversion,13.238969135784046,62600,62682.875946790016,9,RSI oversold,0.02
2026-04-04 16:13,MATIC,SELL,1.88,62800,Breakout,-0.3165884080358374,62800,62798.01182479753,33,Trend breakout,-0.0
2026-04-04 15:43,BTC,BUY,1.9,63000,Momentum,5.497200856349686,63000,63034.63236539501,31,Liquidity grab,0.01
2026-04-04 15:13,ETH,SELL,1.92,63200,Mean Reversion,26.32098308135316,63200,63366.34861307416,19,Trend breakout,0.04
2026-04-04 14:43,ADA,BUY,1.94,63400,Breakout,25.746130063069884,63400,63563.23046459986,70,Moving average cross,0.04
2026-04-04 14:13,SOL,SELL,1.96,63600,Momentum,-11.777522390504457,63600,63525.09495759639,69,Resistance rejection,-0.02
2026-04-04 13:43,DOT,BUY,1.98,63800,Mean Reversion,-18.3309133529522,63800,63683.048772808164,9,Support bounce,-0.03
2026-04-04 13:13,XRP,SELL,2.0,64000,Breakout,1.3517538610886746,64000,64008.65122471097,63,Resistance rejection,0.0
2026-04-04 12:43,LINK,BUY,2.02,64200,Momentum,24.735900575254007,64200,64358.804481693136,31,Trend breakout,0.04
2026-04-04 12:13,UNI,SELL,2.04,64400,Mean Reversion,-19.030648757155404,64400,64277.44262200392,30,Trend breakout,-0.03
2026-04-04 11:43,AAVE,BUY,2.06,64600,Breakout,-8.10089276748128,64600,64547.66823272208,10,Resistance rejection,-0.01
